,filing_org,filing_ein,tax_year,tot_expenses,filing_org_temp
863,BloodCenter Research Foundation Inc,391372542,2017-12-31,8843061,
864,BloodCenter Research Foundation Inc,391372542,2016-12-31,8727504,
865,BloodCenter Research Foundation Inc,391372542,2015-12-31,7396517,
866,BloodCenter Research Foundation Inc,391372542,2014-12-31,7803424,
867,BloodCenter Research Foundation Inc,391372542,2013-12-31,7247385,
868,WARRIORS & QUIET WATERS FOUNDATION INC,208837637,2013-12-31,378297,
869,WASHINGTON UNIVERSITY,430653611,2024-06-30,5558765254,WASHINGTON UNIVERSITY
870,WASHINGTON UNIVERSITY,430653611,2023-06-30,5011674219,WASHINGTON UNIVERSITY
871,WASHINGTON UNIVERSITY,430653611,2022-06-30,4492247424,WASHINGTON UNIVERSITY
872,WASHINGTON UNIVERSITY,430653611,2021-06-30,4080045645,WASHINGTON UNIVERSITY
873,WASHINGTON UNIVERSITY,430653611,2020-06-30,3937259184,WASHINGTON UNIVERSITY
874,WASHINGTON UNIVERSITY,430653611,2019-06-30,3691900120,WASHINGTON UNIVERSITY
875,WASHINGTON UNIVERSITY,430653611,2017-06-30,3190155427,WASHINGTON UNIVERSITY
876,WASHINGTON UNIVERSITY,430653611,2016-06-30,2994711670,WASHINGTON UNIVERSITY
877,WASHINGTON UNIVERSITY,430653611,2015-06-30,2765086838,WASHINGTON UNIVERSITY
878,WASHINGTON UNIVERSITY,430653611,2014-06-30,2614420821,WASHINGTON UNIVERSITY
879,WISCONSIN INSTITUTE FOR LAW &,451606079,2015-12-31,1309639,
880,WISCONSIN KNIGHTS OF COLUMBUS CHARITIES INC,421654056,2022-06-30,52317,
881,WISCONSIN RIGHT TO LIFE EDUCATION FUND,391548867,2018-12-31,1685106,
882,Witherspoon Institute Inc,550835528,2024-12-31,3292915,
883,Witherspoon Institute Inc,550835528,2023-12-31,2673335,
884,Witherspoon Institute Inc,550835528,2022-12-31,2526807,
885,Witherspoon Institute Inc,550835528,2021-12-31,2323889,
886,Witherspoon Institute Inc,550835528,2020-12-31,1759644,
887,The Witherspoon Institute Inc,550835528,2019-12-31,2402287,
888,WMC FOUNDATION INC,391394068,2024-12-31,1179379,
889,WMC FOUNDATION INC,391394068,2021-12-31,861014,
890,WMC FOUNDATION INC,391394068,2015-12-31,2229455,
891,170 FREEDOM MILWAUKEE 2024 HOST,882051288,2024-12-31,74083485,
892,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2025-03-31,29880238,AMERICAN CENTER FOR LAW AND JUSTICE INC
893,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2024-03-31,28436024,AMERICAN CENTER FOR LAW AND JUSTICE INC
894,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2023-03-31,26886769,AMERICAN CENTER FOR LAW AND JUSTICE INC
895,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2022-03-31,24475536,AMERICAN CENTER FOR LAW AND JUSTICE INC
896,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2021-03-31,22610722,AMERICAN CENTER FOR LAW AND JUSTICE INC
897,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2020-03-31,23299364,AMERICAN CENTER FOR LAW AND JUSTICE INC
898,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2019-03-31,22545848,AMERICAN CENTER FOR LAW AND JUSTICE INC
899,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2018-03-31,22622152,AMERICAN CENTER FOR LAW AND JUSTICE INC
900,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2017-03-31,21651473,AMERICAN CENTER FOR LAW AND JUSTICE INC
901,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2016-03-31,19260460,AMERICAN CENTER FOR LAW AND JUSTICE INC
902,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2015-03-31,17458486,AMERICAN CENTER FOR LAW AND JUSTICE INC
903,AMERICAN CENTER FOR LAW AND JUSTICE INC,541586817,2014-03-31,16164212,AMERICAN CENTER FOR LAW AND JUSTICE INC
904,Americans for Prosperity Foundation,521527294,2024-12-31,6943194,
905,Americans for Prosperity Foundation,521527294,2023-12-31,9024920,
906,Americans For Prosperity Foundation,521527294,2022-12-31,8087796,
907,AMERICANS FOR PROSPERITY FOUNDATION,521527294,2021-12-31,8656688,
908,Americans for Prosperity Foundation,521527294,2019-12-31,16069008,
909,Americans for Prosperity Foundation,521527294,2018-12-31,18836165,
910,Americans for Prosperity Foundation,521527294,2017-12-31,20292795,
911,Americans for Prosperity Foundation,521527294,2016-12-31,23028942,
912,Americans for Prosperity Foundation,521527294,2015-12-31,27815002,
913,Americans for Prosperity Foundation,521527294,2014-12-31,21006809,
914,Americans for Prosperity Foundation,521527294,2013-12-31,17700992,
915,CALIFORNIA COMMUNITY FOUNDATION,953510055,2024-06-30,316887361,CALIFORNIA COMMUNITY FOUNDATION
916,CALIFORNIA COMMUNITY FOUNDATION,953510055,2023-06-30,376552452,CALIFORNIA COMMUNITY FOUNDATION
917,CALIFORNIA COMMUNITY FOUNDATION,953510055,2022-06-30,449925693,CALIFORNIA COMMUNITY FOUNDATION
918,CALIFORNIA COMMUNITY FOUNDATION,953510055,2021-06-30,403292249,CALIFORNIA COMMUNITY FOUNDATION
919,CALIFORNIA COMMUNITY FOUNDATION,953510055,2020-06-30,311967095,CALIFORNIA COMMUNITY FOUNDATION
920,CALIFORNIA COMMUNITY FOUNDATION,953510055,2019-06-30,242727237,CALIFORNIA COMMUNITY FOUNDATION
921,CALIFORNIA COMMUNITY FOUNDATION,953510055,2018-06-30,244378541,CALIFORNIA COMMUNITY FOUNDATION
922,CALIFORNIA COMMUNITY FOUNDATION,953510055,2017-06-30,189261881,CALIFORNIA COMMUNITY FOUNDATION
923,CALIFORNIA COMMUNITY FOUNDATION,953510055,2016-06-30,180739067,CALIFORNIA COMMUNITY FOUNDATION
924,CALIFORNIA COMMUNITY FOUNDATION,953510055,2015-06-30,161492759,CALIFORNIA COMMUNITY FOUNDATION
925,CALIFORNIA COMMUNITY FOUNDATION,953510055,2014-06-30,171176451,CALIFORNIA COMMUNITY FOUNDATION
926,CONSUMERS' RESEARCH INC,221500498,2024-12-31,9346824,
927,Consumers Research Inc,221500498,2023-12-31,9972703,
928,Consumers Research Inc,221500498,2022-12-31,8515562,
929,Consumers Research Inc,221500498,2021-12-31,7864901,
930,FORGE LEADERSHIP NETWORK,472275305,2024-12-31,1132653,
931,GOVERNMENT ACCOUNTABILITY INSTITUTE,454681912,2015-12-31,2853295,
932,GOVERNMENT ACCOUNTABILITY INSTITUTE,454681912,2014-12-31,2174573,
933,HARLEM CHILDREN'S ZONE INC,237112974,2024-06-30,133872818,HARLEM CHILDREN'S ZONE INC
934,HARLEM CHILDREN'S ZONE INC,237112974,2023-06-30,117336803,HARLEM CHILDREN'S ZONE INC
935,HARLEM CHILDREN'S ZONE INC,237112974,2022-06-30,104256350,HARLEM CHILDREN'S ZONE INC
936,HARLEM CHILDREN'S ZONE INC,237112974,2021-06-30,152485532,HARLEM CHILDREN'S ZONE INC
937,HARLEM CHILDREN'S ZONE INC,237112974,2020-06-30,105355924,HARLEM CHILDREN'S ZONE INC
938,HARLEM CHILDREN'S ZONE INC,237112974,2019-06-30,106912610,HARLEM CHILDREN'S ZONE INC
939,HARLEM CHILDREN'S ZONE INC,237112974,2018-06-30,105702988,HARLEM CHILDREN'S ZONE INC
940,HARLEM CHILDREN'S ZONE INC,237112974,2017-06-30,105981010,HARLEM CHILDREN'S ZONE INC
941,HARLEM CHILDREN'S ZONE INC,237112974,2015-06-30,99067039,HARLEM CHILDREN'S ZONE INC
942,Heartland Alliance for Human Needs and Rights,361877640,2024-06-30,29816984,Heartland Alliance for Human Needs and Rights
943,HEARTLAND ALLIANCE FOR HUMAN NEEDS AND,361877640,2023-06-30,59237562,Heartland Alliance for Human Needs and Rights
944,Heartland Alliance for Human Needs and Rights,361877640,2022-06-30,51976324,Heartland Alliance for Human Needs and Rights
945,Heartland Alliance for Human Needs and Rights,361877640,2021-06-30,47734412,Heartland Alliance for Human Needs and Rights
946,Heartland Alliance for Human Needs and Rights,361877640,2020-06-30,47925727,Heartland Alliance for Human Needs and Rights
947,Heartland Alliance for Human Needs and Rights,361877640,2019-06-30,40261162,Heartland Alliance for Human Needs and Rights
948,Heartland Alliance for Human Needs,361877640,2018-06-30,19566034,Heartland Alliance for Human Needs and Rights
949,Heartland Alliance for Human Needs,361877640,2017-06-30,11948205,Heartland Alliance for Human Needs and Rights
950,Heartland Alliance for Human Needs,361877640,2016-06-30,9953923,Heartland Alliance for Human Needs and Rights
951,Heartland Alliance for Human Needs and Rights,361877640,2015-06-30,10457876,Heartland Alliance for Human Needs and Rights
952,Heartland Alliance for Human Needs and Rights,361877640,2014-06-30,8666674,Heartland Alliance for Human Needs and Rights
953,HEBRON FUND INC,112623719,2020-12-31,2616991,
954,HEBRON FUND INC,112623719,2019-12-31,2437441,
955,HETERODOX ACADEMY,822903153,2022-08-31,3916641,
956,HETERODOX ACADEMY,822903153,2021-08-31,2859589,
957,HIGHER EDUCATION REFORM COALITION INC,883268791,2023-06-30,270290,
958,HORIZON HOME CARE & HOSPICE INC,391171298,2019-12-31,45518891,
959,HUMAN RIGHTS FOUNDATION INC,202669700,2024-12-31,39817874,
960,HUMAN RIGHTS FOUNDATION INC,202669700,2023-12-31,25327045,
961,HUMAN RIGHTS FOUNDATION,202669700,2022-12-31,13296276,
962,HUMAN RIGHTS FOUNDATION,202669700,2021-12-31,8910973,
963,HUMAN RIGHTS FOUNDATION,202669700,2020-12-31,15403580,
964,HUMAN RIGHTS FOUNDATION,202669700,2019-12-31,12682947,
965,ILLINOIS POLICY INSTITUTE,412057028,2024-12-31,7481285,
966,ILLINOIS POLICY INSTITUTE,412057028,2023-12-31,7361727,
967,ILLINOIS POLICY INSTITUTE,412057028,2022-12-31,7796504,
968,ILLINOIS POLICY INSTITUTE,412057028,2021-12-31,9612672,
969,ILLINOIS POLICY INSTITUTE,412057028,2020-12-31,7293409,
970,ILLINOIS POLICY INSTITUTE,412057028,2019-12-31,7092105,
971,ILLINOIS POLICY INSTITUTE,412057028,2018-12-31,5871517,
972,ILLINOIS POLICY INSTITUTE,412057028,2017-12-31,8692900,
973,ILLINOIS POLICY INSTITUTE,412057028,2016-12-31,6963067,
974,ILLINOIS POLICY INSTITUTE,412057028,2015-12-31,4971904,
975,ILLINOIS POLICY INSTITUTE CO JOHN TILLMAN,412057028,2014-12-31,3856029,
976,ILLINOIS POLICY INSTITUTE CO JOHN TILLMAN,412057028,2013-12-31,3091020,
977,Liberty Counsel Inc,592986294,2015-06-30,5263709,
978,LUCY BURNS INSTITUTE INC,208036372,2018-12-31,4952895,
979,MAJELLA CARES,320112866,2024-06-30,2423577,
980,MAJELLA CARES,320112866,2023-06-30,2834509,
981,MAJELLA CARES,320112866,2022-06-30,2082315,
982,MAJELLA CARES,320112866,2021-06-30,2162203,
983,MAJELLA CARES,320112866,2016-06-30,1535435,
984,MMAC COMMUNITY SUPPORT FOUNDATION INC,391740875,2024-06-30,49884778,MMAC COMMUNITY SUPPORT FOUNDATION INC
985,MMAC COMMUNITY SUPPORT FOUNDATION INC,391740875,2014-06-30,584881,MMAC COMMUNITY SUPPORT FOUNDATION INC
986,Vision Charitable Trust,486393123,2022-12-31,7867613,
987,Vision Charitable Trust,486393123,2017-12-31,2470271,
988,VISION CHARITABLE TRUST,486393123,2016-12-31,3936219,
989,NATIONAL RIGHT TO WORK LEGAL,591588825,2024-12-31,7495536,
990,NATIONAL RIGHT TO WORK LEGAL,591588825,2022-12-31,8113884,
991,NATIONAL RIGHT TO WORK LEGAL,591588825,2021-12-31,6804176,
992,NATIONAL RIGHT TO WORK LEGAL DEFENSE,591588825,2020-12-31,7017977,
993,P4L dba Lemonade Day,204235269,2023-12-31,1748037,
994,P4L dba Lemonade Day,204235269,2022-12-31,810791,
995,P4L dba Lemonade Day,204235269,2022-06-30,1508976,
996,P4L dba Lemonade Day,204235269,2021-06-30,1218419,
997,Palmetto Promise Institute,263077338,2024-12-31,1708169,
998,Palmetto Promise Institute,263077338,2022-12-31,669588,
999,Palmetto Promise Institute,263077338,2020-12-31,544390,
1000,Palmetto Promise Institute,263077338,2019-12-31,538459,
1001,PAYPAL CHARITABLE GIVING FUND,450931286,2024-12-31,811512917,
1002,PAYPAL Charitable Giving Fund,450931286,2023-12-31,503820391,
1003,PAYPAL Charitable Giving Fund,450931286,2022-12-31,348830016,
1004,PAYPAL Charitable Giving Fund,450931286,2021-12-31,291709258,
1005,PAYPAL Charitable Giving Fund,450931286,2020-12-31,308551215,
1006,PAYPAL Charitable Giving Fund,450931286,2019-12-31,180246020,
1007,PAYPAL Charitable Giving Fund,450931286,2018-12-31,156615136,
1008,PAYPAL CHARITABLE GIVING FUND,450931286,2017-12-31,106650703,
1009,Paypal Charitable Giving Fund,450931286,2016-12-31,42583215,
1010,Paypal Charitable Giving Fund,450931286,2015-12-31,38466280,
1011,PAYPAL CHARITABLE GIVING FUND,450931286,2014-12-31,22998666,
1012,PAYPAL CHARITABLE GIVING FUND,450931286,2013-12-31,18564836,
1013,PEPPERDINE UNIVERSITY,951644037,2022-07-31,639625912,PEPPERDINE UNIVERSITY
1014,PEPPERDINE UNIVERSITY,951644037,2021-07-31,559572997,PEPPERDINE UNIVERSITY
1015,PEPPERDINE UNIVERSITY,951644037,2020-07-31,555422254,PEPPERDINE UNIVERSITY
1016,PEPPERDINE UNIVERSITY,951644037,2019-07-31,521304808,PEPPERDINE UNIVERSITY
1017,PEPPERDINE UNIVERSITY,951644037,2018-07-31,472196499,PEPPERDINE UNIVERSITY
1018,The Policy Circle Co,472843650,2017-12-31,529625,
1019,Susan B Anthony List Education Fund,264788700,2024-12-31,9359108,
1020,Susan B Anthony List Education Fund,264788700,2023-12-31,8003307,
1021,Susan B Anthony List Education Fund,264788700,2022-12-31,10449917,
1022,Susan B Anthony List Education Fund,264788700,2021-12-31,10453709,
1023,Susan B Anthony List Education Fund,264788700,2020-12-31,4224399,
1024,Susan B Anthony List Education Fund,264788700,2019-12-31,3269820,
1025,Susan B Anthony List Education Fund,264788700,2018-12-31,2936584,
1026,Susan B Anthony List Education Fund,264788700,2017-12-31,2221104,
1027,Susan B Anthony List Education Fund,264788700,2016-12-31,1465430,
1028,Susan B Anthony List Education Fund,264788700,2015-12-31,1108752,
1029,Susan B Anthony List Education Fund,264788700,2014-12-31,1332432,
1030,SUSAN B ANTHONY LIST EDUCATION FUND,264788700,2013-12-31,638465,
1031,THE REASON FOUNDATION,953298239,2024-09-30,19863540,
1032,THE REASON FOUNDATION,953298239,2023-09-30,17507487,
1033,THE REASON FOUNDATION,953298239,2022-09-30,14980930,
1034,University of Dallas,750926755,2024-05-31,116604918,University of Dallas
1035,University of Dallas,750926755,2023-05-31,113709792,University of Dallas
1036,University of Dallas,750926755,2022-05-31,110649528,University of Dallas
1037,University of Dallas,750926755,2021-05-31,103047469,University of Dallas
1038,University of Dallas,750926755,2020-05-31,100436827,University of Dallas
1039,University of Dallas,750926755,2019-05-31,100775623,University of Dallas
1040,University of Dallas,750926755,2018-05-31,97047564,University of Dallas
1041,University of Dallas,750926755,2017-05-31,91651722,University of Dallas
1042,University of Dallas,750926755,2016-05-31,88330251,University of Dallas
1043,UNIVERSITY OF DALLAS,750926755,2015-05-31,81579543,University of Dallas
1044,University of Dallas,750926755,2014-05-31,77899381,University of Dallas
1045,WISCONSINEYE PUBLIC AFFAIRS NETWORK,391977300,2021-12-31,1262674,
1046,America First Legal Foundation,862190372,2024-12-31,15186933,
1047,America First Legal Foundation,862190372,2023-12-31,10308089,
1048,America First Legal Foundation,862190372,2022-12-31,35179698,
1049,America First Legal Foundation,862190372,2021-12-31,2150423,
1050,AMERICARES FOUNDATION INC,61008595,2024-06-30,1975249816,
1051,AMERICARES FOUNDATION INC,61008595,2023-06-30,1512856382,
1052,AMERICARES FOUNDATION INC,61008595,2022-06-30,1410988353,
1053,AMERICARES FOUNDATION INC,61008595,2021-06-30,1283525179,
1054,AMERICARES FOUNDATION INC,61008595,2020-06-30,1247997037,
1055,AMERICARES FOUNDATION INC,61008595,2019-06-30,1077689775,
1056,AmeriCares Foundation Inc,61008595,2018-06-30,1325483294,
1057,AmeriCares Foundation Inc,61008595,2017-06-30,1927303882,
1058,AmeriCares Foundation Inc,61008595,2016-06-30,982086854,
1059,AmeriCares Foundation Inc,61008595,2015-06-30,640530535,
1060,,61008595,2014-06-30,564795170,
1061,AMERICA'S MIGHTY WARRIORS,273409190,2023-12-31,1340012,
1062,AMERICA'S MIGHTY WARRIORS,273409190,2022-12-31,1403438,
1063,AMERICA'S MIGHTY WARRIORS,273409190,2021-12-31,740534,
1064,AMERICA'S MIGHTY WARRIORS,273409190,2019-12-31,674962,
1065,AMERICA'S MIGHTY WARRIORS,273409190,2018-12-31,555042,
1066,AMERICA'S MIGHTY WARRIORS,273409190,2017-12-31,532627,
1067,ASHLAND UNIVERSITY,340714626,2021-05-31,130567387,ASHLAND UNIVERSITY
1068,THE BLEXIT FOUNDATION INC,833032236,2020-12-31,5114569,
1069,CALVIN UNIVERSITY,383071514,2024-06-30,198033650,CALVIN UNIVERSITY
1070,CALVIN UNIVERSITY,383071514,2023-06-30,180039650,CALVIN UNIVERSITY
1071,CALVIN UNIVERSITY,383071514,2022-06-30,168886336,CALVIN UNIVERSITY
1072,CALVIN UNIVERSITY,383071514,2021-06-30,153262573,CALVIN UNIVERSITY
1073,CALVIN COLLEGE,383071514,2019-06-30,176102407,CALVIN UNIVERSITY
1074,CALVIN COLLEGE,383071514,2018-06-30,176002739,CALVIN UNIVERSITY
1075,CALVIN COLLEGE,383071514,2017-06-30,172843368,CALVIN UNIVERSITY
1076,CALVIN COLLEGE,383071514,2016-06-30,169703960,CALVIN UNIVERSITY
1077,CALVIN COLLEGE,383071514,2015-06-30,168635790,CALVIN UNIVERSITY
1078,CALVIN UNIVERSITY,383071514,2014-06-30,165096662,CALVIN UNIVERSITY
1079,Center for American Greatness Inc,814984970,2019-12-31,1009371,
1080,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2024-03-31,232399350,CHRISTIAN COMMUNITY FOUNDATION INC
1081,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2023-03-31,163944873,CHRISTIAN COMMUNITY FOUNDATION INC
1082,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2022-03-31,97210512,CHRISTIAN COMMUNITY FOUNDATION INC
1083,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2021-03-31,94230373,CHRISTIAN COMMUNITY FOUNDATION INC
1084,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2020-03-31,84714643,CHRISTIAN COMMUNITY FOUNDATION INC
1085,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2019-03-31,57836885,CHRISTIAN COMMUNITY FOUNDATION INC
1086,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2018-03-31,56276818,CHRISTIAN COMMUNITY FOUNDATION INC
1087,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2017-03-31,48296763,CHRISTIAN COMMUNITY FOUNDATION INC
1088,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2016-03-31,54106819,CHRISTIAN COMMUNITY FOUNDATION INC
1089,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2015-03-31,37516062,CHRISTIAN COMMUNITY FOUNDATION INC
1090,CHRISTIAN COMMUNITY FOUNDATION INC,751750059,2014-03-31,28678767,CHRISTIAN COMMUNITY FOUNDATION INC
1091,CLUB FOR GROWTH FOUNDATION INC,822552404,2024-12-31,1743346,
1092,CLUB FOR GROWTH FOUNDATION INC,822552404,2023-12-31,2123621,
1093,CLUB FOR GROWTH FOUNDATION INC,822552404,2022-12-31,2022005,
1094,COLORADO OPPORTUNITY FOUNDATION,844409670,2024-12-31,1253352,
1095,COLORADO OPPORTUNITY FOUNDATION,844409670,2023-12-31,3332008,
1096,COLORADO OPPORTUNITY FOUNDATION,844409670,2022-12-31,2225001,
1097,COLORADO OPPORTUNITY FOUNDATION,844409670,2021-12-31,2210851,
1098,COLORADO OPPORTUNITY FOUNDATION,844409670,2020-12-31,1622304,
1099,THE COMMONWEALTH FOUNDATION FOR PUBLIC,232473845,2024-09-30,10993169,
1100,THE COMMONWEALTH FOUNDATION FOR PUBLIC,232473845,2023-09-30,9040362,
1101,THE COMMONWEALTH FOUNDATION FOR PUBLIC,232473845,2022-09-30,8227600,
1102,THE COMMONWEALTH FOUNDATION FOR PUBLIC,232473845,2021-09-30,7265423,
1103,THE COMMONWEALTH FOUNDATION FOR PUBLIC,232473845,2019-09-30,4301074,
1104,THE COMMONWEALTH FOUNDATION FOR PUBLIC,232473845,2018-09-30,3649227,
1105,THE COMMONWEALTH FOUNDATION FOR PUBLIC POLICY ALTE,232473845,2014-12-31,3838154,
1106,THE COMMONWEALTH FOUNDATION FOR PUBLIC,232473845,2013-12-31,2665762,
1107,CONCORDIA UNIVERSITY INC,390833608,2023-06-30,171246112,
1108,CITIZENS FOR SELF-GOVERNANCE,271657203,2024-12-31,2381765,
1109,CITIZENS FOR SELF-GOVERNANCE,271657203,2023-12-31,2200816,
1110,CITIZENS FOR SELF-GOVERNANCE,271657203,2022-12-31,2161712,
1111,CITIZENS FOR SELF-GOVERNANCE,271657203,2021-12-31,1702596,
1112,CITIZENS FOR SELF-GOVERNANCE,271657203,2020-12-31,2358754,
1113,THE FOUNDATION FOR RESEARCH ON EQUAL,812699310,2019-12-31,832824,
1114,THE FOUNDATION FOR RESEARCH ON EQUAL,812699310,2018-12-31,716369,
1115,Georgia Center for Opportunity Inc,581928520,2024-06-30,3860238,
1116,INFORMED CONSENT ACTION NETWORK,814540235,2023-12-31,16873388,
1117,INFORMED CONSENT ACTION NETWORK,814540235,2022-12-31,13553690,
1118,INSTITUTE FOR FREE SPEECH,203676886,2022-12-31,3036081,
1119,NAVY SEAL FOUNDATION INC,311728910,2024-12-31,34929323,
1120,NAVY SEAL FOUNDATION INC,311728910,2023-12-31,33925350,
1121,NAVY SEAL FOUNDATION INC,311728910,2022-12-31,26906100,
1122,NAVY SEAL FOUNDATION INC,311728910,2021-12-31,20933080,
1123,NAVY SEAL FOUNDATION INC,311728910,2020-12-31,15483721,
1124,NAVY SEAL FOUNDATION INC,311728910,2019-12-31,21637061,
1125,NAVY SEAL FOUNDATION INC,311728910,2018-12-31,19965876,
1126,NAVY SEAL FOUNDATION INC,311728910,2017-12-31,15895708,
1127,NAVY SEAL FOUNDATION INC,311728910,2016-12-31,14541590,
1128,NAVY SEAL FOUNDATION INC,311728910,2015-12-31,11967853,
1129,ONE ISRAEL FUND LTD,113195338,2019-12-31,2595794,
1130,ONE ISRAEL FUND LTD,113195338,2018-12-31,3601657,
1131,Open Doors With Brother Andrew Inc,237275342,2020-12-31,28802217,
1132,Open Doors With Brother Andrew Inc,237275342,2019-12-31,27321666,
1133,Open Doors With Brother Andrew Inc,237275342,2018-12-31,26813196,
1134,Open Doors With Brother Andrew Inc,237275342,2017-12-31,23492166,
1135,Open Doors With Brother Andrew Inc,237275342,2015-12-31,19567954,
1136,Open Doors With Brother Andrew Inc,237275342,2014-12-31,16681878,
1137,Open Doors With Brother Andrew Inc,237275342,2013-12-31,13298828,
1138,PRIESTS FOR LIFE,943123315,2023-12-31,11043817,
1139,PRIESTS FOR LIFE,943123315,2022-12-31,11101068,
1140,PRIESTS FOR LIFE,943123315,2021-12-31,9201547,
1141,PRIESTS FOR LIFE,943123315,2020-12-31,8836816,
1142,UNITED PERFORMING ARTS FUND INC,396100399,2024-08-31,8904685,UNITED PERFORMING ARTS FUND INC
1143,UNITED PERFORMING ARTS FUND INC,396100399,2023-08-31,9717290,UNITED PERFORMING ARTS FUND INC
1144,UNITED PERFORMING ARTS FUND INC,396100399,2022-08-31,9614383,UNITED PERFORMING ARTS FUND INC
1145,UNITED PERFORMING ARTS FUND INC,396100399,2021-08-31,9814596,UNITED PERFORMING ARTS FUND INC
1146,UNITED PERFORMING ARTS FUND INC,396100399,2020-08-31,10218925,UNITED PERFORMING ARTS FUND INC
1147,UNITED PERFORMING ARTS FUND INC,396100399,2019-08-31,10618495,UNITED PERFORMING ARTS FUND INC
1148,UNITED PERFORMING ARTS FUND INC,396100399,2018-08-31,10554231,UNITED PERFORMING ARTS FUND INC
1149,UNITED PERFORMING ARTS FUND INC,396100399,2017-08-31,10687448,UNITED PERFORMING ARTS FUND INC
1150,UNITED PERFORMING ARTS FUND INC,396100399,2016-08-31,10793497,UNITED PERFORMING ARTS FUND INC
1151,UNITED PERFORMING ARTS FUND INC,396100399,2015-08-31,12076664,UNITED PERFORMING ARTS FUND INC
1152,UNITED PERFORMING ARTS FUND INC,396100399,2014-08-31,11593439,UNITED PERFORMING ARTS FUND INC
1153,ARCHBRIDGE INSTITUTE,474252296,2024-12-31,2015367,
1154,ARCHBRIDGE INSTITUTE,474252296,2023-12-31,1507366,
1155,ARCHBRIDGE INSTITUTE,474252296,2022-12-31,1901116,
1156,Taliesin Nexus,274737588,2021-12-31,1300389,
1157,Taliesin Nexus,274737588,2019-12-31,1732447,
1158,Taliesin Nexus,274737588,2017-12-31,836932,
1159,GEORGETOWN UNIVERSITY,530196603,2024-06-30,2055592323,GEORGETOWN UNIVERSITY
1160,GEORGETOWN UNIVERSITY,530196603,2023-06-30,1907524978,GEORGETOWN UNIVERSITY
1161,GEORGETOWN UNIVERSITY,530196603,2022-06-30,1752961854,GEORGETOWN UNIVERSITY
1162,GEORGETOWN UNIVERSITY,530196603,2021-06-30,1512702096,GEORGETOWN UNIVERSITY
1163,GEORGETOWN UNIVERSITY,530196603,2020-06-30,1591528173,GEORGETOWN UNIVERSITY
1164,GEORGETOWN UNIVERSITY,530196603,2019-06-30,1545844322,GEORGETOWN UNIVERSITY
1165,GEORGETOWN UNIVERSITY,530196603,2018-06-30,1470096417,GEORGETOWN UNIVERSITY
1166,GEORGETOWN UNIVERSITY,530196603,2017-06-30,1411380670,GEORGETOWN UNIVERSITY
1167,GEORGETOWN UNIVERSITY,530196603,2016-06-30,1361882555,GEORGETOWN UNIVERSITY
1168,GEORGETOWN UNIVERSITY,530196603,2015-06-30,1314686244,GEORGETOWN UNIVERSITY
1169,GEORGETOWN UNIVERSITY,530196603,2014-06-30,1280716626,GEORGETOWN UNIVERSITY
1170,Create Healthy Management,746083124,2024-12-31,10456882,
1171,Create Healthy Management,746083124,2023-12-31,32504204,
1172,Create Healthy Management,746083124,2022-12-31,99453073,
1173,Hill Country Memorial Hospital,746083124,2019-12-31,84732555,
1174,Hill Country Memorial Hospital,746083124,2018-12-31,88946623,
1175,Hill Country Memorial Hospital,746083124,2014-12-31,73445827,
1176,OPPORTUNITY INTERNATIONAL INC,540907624,2024-09-30,48753965,
1177,OPPORTUNITY INTERNATIONAL INC,540907624,2023-09-30,44284677,
1178,OPPORTUNITY INTERNATIONAL INC,540907624,2022-09-30,45485616,
1179,OPPORTUNITY INTERNATIONAL INC,540907624,2021-09-30,44876796,
1180,OPPORTUNITY INTERNATIONAL INC,540907624,2019-12-31,68956124,
1181,OPPORTUNITY INTERNATIONAL INC,540907624,2018-12-31,76929870,
1182,OPPORTUNITY INTERNATIONAL INC,540907624,2017-12-31,78578197,
1183,OPPORTUNITY INTERNATIONAL INC,540907624,2016-12-31,97776456,
1184,OPPORTUNITY INTERNATIONAL INC,540907624,2015-12-31,131857140,
1185,OPPORTUNITY INTERNATIONAL INC,540907624,2014-12-31,138831728,
1186,THE SAND COUNTY FOUNDATION INC,396089450,2024-12-31,9563434,
1187,THE SAND COUNTY FOUNDATION INC,396089450,2023-12-31,7536098,
